
"Rank","Name","Symbol","operating_margin_ttm","price (USD)","country"
"99","Gujarat Alkalies and Chemicals","GUJALKALI.NS","2211.88","8.97","India"
"100","SRF Limited","SRF.NS","2193.12","28.88","India"
"101","Eicher Motors","EICHERMOT.NS","2191.03","36.01","India"
"102","Cantabil Retail India","CANTABIL.NS","2181.82","13.26","India"
"103","Emami","EMAMILTD.NS","2175.17","5.2","India"
"104","Deepak Nitrite","DEEPAKNTR.NS","2160.02","22.74","India"
"105","Anup Engineering","ANUP.NS","2155.2","9.25","India"
"106","Sunteck Realty","SUNTECK.NS","2154.12","6.2","India"
"107","Mindtree","MINDTREE.NS","2147.74","38.01","India"
"108","Hindustan Aeronautics","HAL.NS","2144.57","22.71","India"
"109","Anant Raj","ANANTRAJ.NS","2139.1","0.68","India"
"110","Procter &amp; Gamble India","PGHH.NS","2121.77","166.59","India"
"111","Dabur","DABUR.NS","2121.37","6.45","India"
"112","Nestlé India","NESTLEIND.NS","2109.23","220.08","India"
"113","Marksans Pharma","MARKSANS.NS","2108.79","0.54","India"
"114","TANLA","TANLA.NS","2106.85","12.96","India"
"115","Bharat Electronics","BEL.NS","2099.15","2.99","India"
"116","Finolex Cables","FINCABLES.NS","2089.58","4.79","India"
"117","Mastek","MASTEK.NS","2086.62","26.57","India"
"118","Shree Cement","SHREECEM.NS","2072.68","244.69","India"
"119","INEOS Styrolution","INEOSSTYRO.NS","2068.84","9.69","India"
"120","Graphite India","GRAPHITE.NS","2063.58","4.97","India"
"121","Wendt India","WENDT.NS","2025.98","112.76","India"
"122","Larsen &amp; Toubro Infotech","LTI.BO","2023.16","52.89","India"
"123","Cummins India","CUMMINSIND.NS","2013.57","12.62","India"
"124","Timken India","TIMKEN.NS","1997.07","31.15","India"
"125","Asahi India Glass","ASAHIINDIA.NS","1994.84","6.87","India"
"126","Grindwell Norton","GRINDWELL.NS","1992.86","20.9","India"
"127","CG Power and Industrial Solutions","CGPOWER.NS","1989.21","2.39","India"
"128","Fortis Healthcare","FORTIS.NS","1988.91","2.91","India"
"129","Wipro","WIT","1980.55","5.32","India"
"130","PI Industries","PIIND.NS","1973.12","33.51","India"
"131","I.g. Petrochemicals","IGPL.NS","1960.58","7.71","India"
"132","Jagran Prakashan","JAGRAN.NS","1941.99","0.63","India"
"133","Knr Constructions","KNRCON.NS","1939.47","2.96","India"
"134","Aptech","APTECHT.NS","1932.66","2.87","India"
"135","HCL Technologies","HCLTECH.NS","1929.6","12.63","India"
"136","Ipca Laboratories","IPCALAB.NS","1924.23","11.26","India"
"137","Astec Lifesciences","ASTEC.NS","1921.34","24.02","India"
"138","FDC India","FDC.NS","1920.46","3.04","India"
"139","Page Industries","PAGEIND.NS","1904.14","506.52","India"
"140","Sumitomo Chemical
 India","SUMICHEM.NS","1900.22","5.4","India"
"141","Fine Organics","FINEORG.NS","1895.93","61.61","India"
"142","Container Corporation of India","CONCOR.NS","1873.42","7.72","India"
"143","Godrej","GODREJCP.NS","1857.94","9.83","India"
"144","Syngene International","SYNGENE.NS","1833.46","7.13","India"
"145","Excel Industries","EXCELINDUS.NS","1828.98","15.65","India"
"146","Gateway Distriparks","GDL.NS","1824.67","3.76","India"
"147","Cosmo Films","COSMOFILMS.NS","1824.62","12.81","India"
"148","Zee Learn","ZEELEARN.NS","1819.2","0.08","India"
"149","Bayer Crop Science","BAYERCROP.NS","1815.26","63.3","India"
"150","Rupa Company","RUPA.NS","1809.39","4.5","India"
"151","Kewal Kiran Clothing","KKCL.NS","1806.67","3.14","India"
"152","Alkem Laboratories","ALKEM.NS","1787.01","37.41","India"
"153","Zee Entertainment","ZEEL.NS","1784.42","2.74","India"
"154","UltraTech Cement","ULTRACEMCO.NS","1771.28","71.22","India"
"155","Torrent Pharmaceuticals","TORNTPHARM.NS","1768.68","36.27","India"
"156","Network18","NETWORK18.NS","1762.08","0.86","India"
"157","Polyplex","POLYPLEX.NS","1754.92","29.72","India"
"158","Steel Authority of India","SAIL.NS","1742.05","0.89","India"
"159","Cadila Healthcare","CADILAHC.NS","1740.75","4.5","India"
"160","Marico","MARICO.NS","1724.98","6.1","India"
"161","DCM Shriram","DCMSHRIRAM.NS","1711.62","12.03","India"
"162","Jindal Stainless (Hisar)","JSLHISAR.NS","1709.84","2.64","India"
"163","Tech Mahindra","TECHM.NS","1706.21","12.9","India"
"164","Hindustan Oil Exploration Company","HINDOILEXP.NS","1702.84","2.47","India"
"165","Symphony Limited","SYMPHONY.NS","1698.38","11.02","India"
"166","GAIL","GAIL.NS","1688.99","1.75","India"
"167","Ambuja Cements","AMBUJACEM.NS","1687.32","4.64","India"
"168","Delta Corp","DELTACORP.NS","1685.93","2.21","India"
"169","Jubilant FoodWorks","JUBLFOOD.NS","1682.55","6.54","India"
"170","RPG Life Sciences","RPGLIFE.NS","1677.03","7.22","India"
"171","Orient Cement","ORIENTCEM.NS","1672.35","1.49","India"
"172","Navkar Corp","NAVKARCORP.NS","1670.76","0.66","India"
"173","Pidilite","PIDILITIND.NS","1670.28","26.7","India"
"174","Cipla","CIPLA.NS","1668.33","11.74","India"
"175","Indoco Remedies","INDOCO.NS","1667.83","4.67","India"
"176","Zydus Wellness","ZYDUSWELL.NS","1664.46","19.81","India"
"177","Mphasis","MPHASIS.NS","1661.59","29.49","India"
"178","Ingersoll Rand India","INGERRAND.NS","1657.72","18.22","India"
"179","Indian Telephone Industries","ITI.NS","1652.71","1.3","India"
"180","Persistent Systems","PERSISTENT.NS","1639.11","44.4","India"
"181","Schaeffler India","SCHAEFFLER.NS","1635.37","28.5","India"
"182","Heidelbergcement India","HEIDELBERG.NS","1626.81","2.21","India"
"183","Cyient","CYIENT.NS","1625.73","9.74","India"
"184","Siyaram Silk Mills","SIYSIL.NS","1618.6","6.28","India"
"185","Atul","ATUL.NS","1613.22","101.75","India"
"186","JK Cement","JKCEMENT.NS","1606.24","26.91","India"
"187","WNS","WNS","1601.14","74.11","India"
"188","Supreme Industries","SUPREMEIND.NS","1598.43","21.75","India"
"189","Mahindra &amp; Mahindra","M&M.NS","1593.75","13.91","India"
"190","Britannia Industries","BRITANNIA.NS","1592.19","43.37","India"
"191","CenturyPly","CENTURYPLY.NS","1584.17","6.49","India"
"192","Tata Power","TATAPOWER.NS","1584.05","2.65","India"
"193","Honeywell Automation India","HONAUT.NS","1571.2","432.55","India"
"194","Vst Tillers Tractors","VSTTILLERS.NS","1561.48","32.23","India"
"195","Dr. Reddy's","RDY","1556.32","55.29","India"
"196","Ramco Cements","RAMCOCEM.NS","1555.62","7.89","India"
"197","KCP Limited","KCP.NS","1545.31","1.35","India"
"198","Engineers India","ENGINERSIN.NS","1545","0.73","India"
"199","Vidhi Specialty Food","VIDHIING.NS","1544.27","5.13","India"
"200","Voltamp Transformers","VOLTAMP.NS","1540.2","36","India"
"201","India Glycols","INDIAGLYCO.NS","1533.37","9.29","India"
"202","Tata Coffee","TATACOFFEE.NS","1515.99","2.54","India"
"203","Tata Chemicals","TATACHEM.NS","1513.1","10.23","India"
"204","Ramkrishna Forgings","RKFORGE.NS","1507.84","2.08","India"
"205","Phillips Carbon Black","PHILIPCARB.NS","1499.37","3.24","India"
"206","Astral Poly Technik","ASTRAL.NS","1498.19","20.47","India"
"207","KPIT Technologies","KPITTECH.NS","1495.67","6.65","India"
"208","Cera Sanitaryware","CERA.NS","1482.79","52.33","India"
"209","Asian Paints","ASIANPAINT.NS","1479.38","34.25","India"
"210","Bharat Forge","BHARATFORG.NS","1475.16","8.21","India"
"211","ACC","ACC.NS","1469.99","27.12","India"
"212","Carborundum Universal","CARBORUNIV.NS","1467.59","9.34","India"
"213","Aurobindo Pharma","AUROPHARMA.NS","1466.4","6.55","India"
"214","Bombay Burmah","BBTC.NS","1464.3","11.56","India"
"215","Grasim Industries","GRASIM.NS","1456.4","17.13","India"
"216","Srikalahasthi Pipes","SRIPIPES.NS","1456.21","2.65","India"
"217","Chambal Fertilisers","CHAMBLFERT.NS","1455.83","3.47","India"
"218","SKF India","SKFINDIA.NS","1454.59","44.53","India"
"219","UPL","UPL.NS","1449.38","8.16","India"
"220","Prince Pipes And Fittings","PRINCEPIPE.NS","1446.12","7.69","India"
"221","Hindustan Construction Company","HCC.NS","1441.86","0.16","India"
"222","Ratnamani Metals &amp; Tubes","RATNAMANI.NS","1440.08","31.35","India"
"223","Coforge","COFORGE.NS","1439.58","46.66","India"
"224","Zensar","ZENSARTECH.NS","1435","3.41","India"
"225","Varun Beverages","VBL.NS","1430.04","9.78","India"
"226","Glenmark Pharmaceuticals","GLENMARK.NS","1429.89","4.86","India"
"227","Tata Steel Long Products","TATASTLLP.NS","1428.08","7.53","India"
"228","West Coast Paper Mills","WSTCSTPAPR.NS","1415.53","4.19","India"
"229","Kajaria Ceramics","KAJARIACER.NS","1412.01","11.82","India"
"230","Reliance Industries","RELIANCE.NS","1411.33","32.45","India"
"231","Foseco India","FOSECOIND.NS","1403.67","19.83","India"
"232","KIOCL","KIOCL.NS","1403.03","2.4","India"
"233","Escorts Limited","ESCORTS.NS","1392.33","18.89","India"
"234","Jain Irrigation Systems","JISLDVREQS.NS","1373","0.25","India"
"235","MM Forgings","MMFL.NS","1367.88","10.74","India"
"236","Hexaware Technologies","HEXAWARE.NS","1361.37","5.96","India"
"237","Suprajit Engineering","SUPRAJIT.NS","1356.85","4.18","India"
"238","Blue Dart Express","BLUEDART.NS","1356.6","96.26","India"
"239","Apollo Hospitals","APOLLOHOSP.NS","1341.52","48.24","India"
"240","Gulf Oil Lubricants","GULFOILLUB.NS","1340.64","5.11","India"
"241","Berger Paints","BERGEPAINT.NS","1338.33","7.35","India"
"242","KSB ltd","KSB.NS","1327.12","18.52","India"
"243","Devyani International","DEVYANI.NS","1310.3","1.89","India"
"244","Hikal","HIKAL.NS","1299.78","3.28","India"
"245","BOSCH India","BOSCHLTD.NS","1297.53","189.78","India"
"246","Filatex India","FILATEX.NS","1292.39","1.22","India"
"247","Biocon","BIOCON.NS","1282.75","3.94","India"
"248","Jubilant Pharmova","JUBLPHARMA.NS","1282.41","4.4","India"
"249","ESAB India","ESABINDIA.NS","1276.4","46.04","India"
"250","Himatsingka Seide","HIMATSEIDE.NS","1275.2","1.37","India"
"251","MEP Infrastructure","MEP.NS","1273.26","0.22","India"
"252","Jindal Stainless","JSL.NS","1267.43","1.31","India"
"253","GTPL Hathway","GTPL.NS","1254.32","1.81","India"
"254","BLS International","BLS.NS","1247.02","2.46","India"
"255","The Tinplate Company Of India","TINPLATE.NS","1240.61","3.99","India"
"256","Tata Consumer Products","TATACONSUM.NS","1237.45","9.3","India"
"257","Sanghi Industries","SANGHIIND.NS","1236.03","0.47","India"
"258","Relaxo Footwear","RELAXO.NS","1228.15","12.32","India"
"259","Shalby","SHALBY.NS","1217.71","1.3","India"
"260","Mangalam Cement","MANGLMCEM.NS","1216.93","3.48","India"
"261","Sun Pharmaceutical","SUNPHARMA.NS","1215.36","10.48","India"
"262","United Spirits","UNITDSPR.BO","1210.19","9.75","India"
"263","Electrosteel Castings","ELECTCAST.NS","1208.13","0.41","India"
"264","Alembic Pharmaceuticals","APLLTD.NS","1206.67","9.2","India"
"265","Rain Industries","RAIN.NS","1206.31","1.88","India"
"266","Radico Khaitan","RADICO.NS","1204.01","10.66","India"
"267","Havells India","HAVELLS.NS","1200.18","14.01","India"
"268","Hindalco Industries","HINDALCO.NS","1197.78","4.34","India"
"269","Vadilal Industries","VADILALIND.NS","1190.03","27.06","India"
"270","Nelco","NELCO.NS","1180.23","7.88","India"
"271","Aarti Drugs","AARTIDRUGS.NS","1168.43","5.17","India"
"272","PTC Financial Services","PFS.NS","1155.93","0.18","India"
"273","Greenpanel Industries","GREENPANEL.NS","1149.23","5.42","India"
"274","Shriram Pistons &amp; Rings","SHRIPISTON.NS","1143.03","8.29","India"
"275","Natco Pharma","NATCOPHARM.NS","1141.92","8.06","India"
"276","Titan Company","TITAN.NS","1139.35","24.47","India"
"277","Petronet LNG","PETRONET.NS","1130.31","2.73","India"
"278","Nucleus Software Exports","NUCLEUS.NS","1129.11","4.96","India"
"279","Oil &amp; Natural Gas","ONGC.NS","1124.38","1.88","India"
"280","India Motor Parts and Accessories","IMPAL.NS","1120.37","9.92","India"
"281","Larsen &amp; Toubro","LT.NS","1119.95","19.65","India"
"282","Coromandel","COROMANDEL.NS","1112.71","12.02","India"
"283","3M India","3MINDIA.NS","1109.82","282.94","India"
"284","India Nippon Electricals","INDNIPPON.NS","1092.97","4.83","India"
"285","RattanIndia Power","RTNPOWER.NS","1092.32","0.04","India"
"286","Elgi Equipments","ELGIEQUIP.NS","1083.99","4.74","India"
"287","Gujarat Gas","GUJGASLTD.NS","1081.35","5.44","India"
"288","Whirlpool India","WHIRLPOOL.NS","1077.5","19.46","India"
"289","Mirza International","MIRZAINT.NS","1072.22","2.99","India"
"290","VRL Logistics","VRLLOG.NS","1055.38","7.93","India"
"291","Sify","SIFY","1055.32","2.02","India"
"292","Transport Corporation of India","TCI.NS","1053.79","8.72","India"
"293","Tide Water Oil","TIDEWATER.NS","1052.67","13.15","India"
"294","Hero MotoCorp","HEROMOTOCO.NS","1052.67","35.1","India"
"295","Sheela Foam","SFL.NS","1051.78","33.57","India"
"296","ICICI Lombard","ICICIGI.NS","1050.53","14.09","India"
"297","HBL Power Systems","HBLPOWER.NS","1042.01","1.17","India"
"298","Olectra Greentech","OLECTRA.NS","1037.98","7.7","India"
"299","Cigniti Technologies","CIGNITITEC.NS","1009.63","5.71","India"
"300","ABB India","ABB.NS","1009.48","28.88","India"
"301","Southern Petrochemical Industries Corp","SPIC.NS","1009.35","0.63","India"
"302","Vaibhav Global","VAIBHAVGBL.NS","1008.23","3.86","India"
"303","Neuland Laboratories","NEULANDLAB.NS","1005.52","15.05","India"
"304","Tube Investments of India","TIINDIA.NS","998.832","22.35","India"
"305","Suzlon","SUZLON.NS","998.212","0.09","India"
"306","Siemens India","SIEMENS.NS","996.628","29.86","India"
"307","Power Mech Projects","POWERMECH.NS","974.513","11.36","India"
"308","Bata India","BATAINDIA.NS","969.68","21.2","India"
"309","East India Distilleries Parry","EIDPARRY.NS","968.947","6.59","India"
"310","Capacit'e Infraprojects","CAPACITE.NS","952.154","1.42","India"
"311","Astra Microwave","ASTRAMICRO.NS","950.792","2.52","India"
"312","Polycab India","POLYCAB.NS","938.826","28.3","India"
"313","Time Technoplast","TIMETECHNO.NS","938.801","1.34","India"
"314","Trent Limited","TRENT.NS","935.994","13.45","India"
"315","Kuantum Papers","KUANTUM.NS","928.239","0.92","India"
"316","Galaxy Surfactants","GALAXYSURF.NS","926.843","36.99","India"
"317","Action Construction Equipment","ACE.NS","926.756","2.7","India"
"318","Voltas","VOLTAS.NS","921.895","12.31","India"
"319","Oriental Aromatics","OAL.NS","920.071","7.32","India"
"320","TVS Motor","TVSMOTOR.NS","912.054","10.37","India"
"321","Apollo Pipes","APOLLOPIPE.NS","911.783","5.37","India"
"322","Gallantt Ispat","GALLISPAT.NS","906.782","0.82","India"
"323","Praj Industries","PRAJIND.NS","888.333","4.57","India"
"324","Confidence Petroleum","CONFIPET.NS","881.811","0.6","India"
"325","Honda Siel Power Products","HONDAPOWER.NS","880.364","18.23","India"
"326","Asian Granito India","ASIANTILES.NS","876.848","0.52","India"
"327","Greenply","GREENPLY.NS","875.821","2.15","India"
"328","Hathway","HATHWAY.NS","875.258","0.21","India"
"329","Hyderabad Industries Limited","HIL.NS","875.124","44.51","India"
"330","Sudarshan Chemical","SUDARSCHEM.NS","871.954","5.33","India"
"331","United Breweries","UBL.NS","869.7","18.38","India"
"332","Prime Focus","PFOCUS.NS","865.13","0.8","India"
"333","V-Guard Industries","VGUARD.NS","862.287","2.75","India"
"334","VIP Industries","VIPIND.NS","860.459","7.98","India"
"335","VA Tech Wabag","WABAG.NS","859.238","3.01","India"
"336","Bodal Chemicals","BODALCHEM.NS","854.818","1.09","India"
"337","Hinduja Global Solutions","HGS.NS","849.28","13.79","India"
"338","Hindustan Media Ventures","HMVL.NS","848.629","0.67","India"
"339","PTC India","PTC.NS","827.22","0.96","India"
"340","JBM Auto","JBMA.NS","822.412","5.49","India"
"341","Sterling Tools","STERTOOLS.NS","818.24","3.52","India"
"342","Mahindra CIE","MAHINDCIE.NS","817.701","2.98","India"
"343","Amara Raja Batteries","AMARAJABAT.NS","812.917","5.94","India"
"344","Rashtriya Chemicals and Fertilizers","RCF.NS","809.989","1","India"
"345","Nerolac Paints","KANSAINER.NS","805.687","4.79","India"
"346","Apex Frozen Foods","APEX.NS","805.472","3.27","India"
"347","Endurance Technologies","ENDURANCE.NS","784.685","17.48","India"
"348","WABCO India","WABCOINDIA.NS","782.523","97.94","India"
"349","NACL Industries","NACLIND.NS","782.174","0.97","India"
"350","Greenlam Industries","GREENLAM.NS","782.008","4.13","India"
"351","Texmaco Rail &amp; Engineering","TEXRAIL.NS","781.924","0.53","India"
"352","Orient Electric","ORIENTELEC.NS","775.116","3.41","India"
"353","Infibeam Avenues","INFIBEAM.NS","775.084","0.17","India"
"354","Bliss GVS Pharma","BLISSGVS.NS","771.158","0.94","India"
"355","Ashok Leyland","ASHOKLEY.NS","770.94","1.84","India"
"356","Reliance Infrastructure","RELINFRA.NS","764.965","1.19","India"
"357","Jindal Worldwide","JINDWORLD.NS","751.18","2.99","India"
"358","Somany Ceramics","SOMANYCERA.NS","750.985","7.2","India"
"359","Vesuvius India","VESUVIUS.NS","747.668","13.29","India"
"360","General Insurance Corporation of India","GICRE.NS","746.562","1.46","India"
"361","Kalpataru Power Transmission","KALPATPOWR.NS","739.504","4.53","India"
"362","Thermax","THERMAX.NS","710.248","25.97","India"
"363","APL Apollo","APLAPOLLO.NS","695.084","10.97","India"
"364","Indorama Synthetics","INDORAMA.NS","694.938","0.81","India"
"365","Arvind","ARVIND.NS","689.643","1.19","India"
"366","Automotive Axles","AUTOAXLES.NS","685.798","20.62","India"
"367","Rane Brake Lining","RBL.NS","685.574","9.26","India"
"368","DMart","DMART.NS","683.466","44.19","India"
"369","Parag Milk Foods","PARAGMILK.NS","683.061","0.99","India"
"370","Allcargo Logistics","ALLCARGO.NS","678.073","3.4","India"
"371","Nazara Technologies","NAZARA.NS","676.947","8.84","India"
"372","Nectar Lifesciences","NECLIFE.NS","676.057","0.29","India"
"373","Indian Oil","IOC.NS","673.943","1.39","India"
"374","Minda Industries","MINDAIND.NS","668.848","11.96","India"
"375","Hatsun Agro Products","HATSUN.NS","660.062","11.59","India"
"376","Mangalore Chemicals and Fertilizers","MANGCHEFER.NS","637.427","1.34","India"
"377","Bajaj Electricals","BAJAJELEC.NS","633.457","12.03","India"
"378","Federal-Mogul Goetze","FMGOETZE.NS","630.659","3.57","India"
"379","Exide Industries","EXIDEIND.NS","627.47","1.77","India"
"380","Apollo Tyres","APOLLOTYRE.NS","617.309","2.36","India"
"381","Prakash Industries","PRAKASH.NS","614.73","0.66","India"
"382","Madras Rubber Factory","MRF.NS","601.686","907.74","India"
"383","BASF India","BASF.NS","594.589","33","India"
"384","Ruchi Soya","RUCHI.NS","590.553","13.87","India"
"385","Maruti Suzuki India","MARUTI.NS","573.643","107.49","India"
"386","Indian Hotels Company","INDHOTEL.NS","571.898","2.89","India"
"387","BEML","BEML.NS","569.119","16.01","India"
"388","Gabriel India","GABRIEL.NS","560.429","1.69","India"
"389","Skipper Limited","SKIPPER.NS","553.497","0.7","India"
"390","Bharat Petroleum","BPCL.NS","539.152","4.03","India"
"391","KEC International","KEC.NS","525.528","5.17","India"
"392","Chennai Petroleum","CHENNPETRO.NS","516.738","4.18","India"
"393","Sterlite Technologies","STLTECH.NS","505.514","1.91","India"
"394","Nilkamal","NILKAMAL.NS","505.203","24.01","India"
"395","Adani Enterprises","ADANIENT.NS","501.527","27.98","India"
"396","Schneider Electric Infrastructure","SCHNEIDER.NS","497.45","1.3","India"
"397","Blue Star","BLUESTARCO.NS","491.472","11.81","India"
"398","Sequent Scientific","SEQUENT.NS","488.573","1.23","India"
"399","Safari Industries India","SAFARI.NS","483.851","11.92","India"
"400","Ebixcash India","EBIXFOREX.NS","479.724","7.31","India"
"401","Amber Enterprises India","AMBER.NS","476.538","30.08","India"
"402","Tamil Nadu Newsprint and Papers Limited","TNPL.NS","448.878","2.35","India"
"403","Kingfa Science & Technology","KINGFA.NS","446.279","11.41","India"
"404","Surya Roshni","SURYAROSNI.NS","439.566","4.67","India"
"405","Rico Auto Industries","RICOAUTO.NS","430.589","0.57","India"
"406","Wheels India","WHEELS.NS","426.657","7.85","India"
"407","Sandhar","SANDHAR.NS","426.216","3.15","India"
"408","NBCC India","NBCC.NS","424.177","0.37","India"
"409","Lumax Industries","LUMAXIND.NS","421.937","16.43","India"
"410","PDS Multinational","PDSMFL.NS","410.124","22.65","India"
"411","Rane Holdings","RANEHOLDIN.NS","401.967","7.92","India"
"412","India Tourism Development Corp","ITDC.NS","381.068","3.74","India"
"413","JTEKT India","JTEKTINDIA.NS","376.37","1.02","India"
"414","Jay Bharat Maruti","JAYBARMARU.NS","363.962","1.8","India"
"415","TCNS Clothing","TCNSBRANDS.NS","334.502","6.71","India"
