Name,Rating,Review,C-Type,HQ,Old,Employees,Site,Sector
HDFC Life,,(5.5k Reviews),Public,"Mumbai,Maharashtra + 400 more",22 years old,10k-50k Employees (India),,
Indian Army,,(4.1k Reviews),Public,"New Delhi,Delhi + 263 more",127 years old,1 Lakh+ Employees (India),,
EXL Service,,(5.2k Reviews),Private,"New York City,New York + 28 more",23 years old,10k-50k Employees (India),,
Home Credit Fina...,,(3.9k Reviews),Private,Gurugram + 101 more,10 years old,5k-10k Employees (India),,
L&T Infotech,,(3.9k Reviews),Public,"Mumbai,Maharashtra + 76 more",26 years old,10k-50k Employees (India),,
PwC,,(3.9k Reviews),Partnership,London + 60 more,24 years old,10k-50k Employees (India),,
Lupin,,(3.9k Reviews),Public,"Mumbai,Maharashtra + 120 more",54 years old,10k-50k Employees (India),,
UltraTech Cement,,(4.4k Reviews),Public,"Mumbai,Maharashtra + 327 more",39 years old,10k-50k Employees (India),,
Bajaj Finance,,(4.3k Reviews),Private,"Pune,Maharashtra + 594 more",35 years old,10k-50k Employees (India),,
Hindustan Unilev...,,(4.4k Reviews),Public,"Mumbai,Maharashtra + 347 more",89 years old,10k-50k Employees (India),,
ITC,,(7.1k Reviews),Public,"Kolkata,West Bengal + 223 more",47 years old,10k-50k Employees (India),,
Ujjivan Small Fi...,,(3.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 376 more",5 years old,10k-50k Employees (India),,
Zydus Cadila,,(4.6k Reviews),Public,"Ahmedabad, India + 119 more",70 years old,10k-50k Employees (India),,
Paytm,,(4.3k Reviews),Public,Noida + 229 more,12 years old,10k-50k Employees (India),,
OPPO,,(3.8k Reviews),Public,"Dongguan,Guangdong + 315 more",18 years old,10k-50k Employees (India),,
KPMG,,(3.7k Reviews),Partnership,Bengaluru/Bangalore + 51 more,35 years old,10k-50k Employees (Global),,
Mindtree,,(3.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 25 more",23 years old,10k-50k Employees (India),,
IIFL,,(3.5k Reviews),Public,"Mumbai,Maharashtra + 464 more",27 years old,10k-50k Employees (India),,
Shapoorji Pallon...,,(6.7k Reviews),Private,"Mumbai,Maharashtra + 136 more",157 years old,5k-10k Employees (India),,
JP Morgan Chase,,(3.5k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India),,
Shriram Transpor...,,(3.8k Reviews),Public,"Mumbai,Maharashtra + 648 more",43 years old,10k-50k Employees (India),,
Ashok Leyland,,(3.5k Reviews),Public,"Chennai,Tamil Nadu + 184 more",74 years old,10k-50k Employees (India),,
Sun Pharmaceutic...,,(4.0k Reviews),Public,Mumbai + 147 more,39 years old,10k-50k Employees (India),,
Vivo,,(3.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 325 more",13 years old,5k-10k Employees (India),,
Mahindra & Mahin...,,(4.9k Reviews),Public,"Mumbai,Maharashtra + 549 more",31 years old,10k-50k Employees (India),,
Aurobindo Pharma,,(3.6k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,10k-50k Employees (India),,
Wells Fargo Indi...,,(3.3k Reviews),Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India),,
Intelenet Global...,,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India),,
iEnergizer,,(3.3k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India),,
Bandhan Bank,,(3.4k Reviews),Public,"Kolkata,West Bengal + 528 more",21 years old,50k-1 Lakh Employees (India),,
Fidelity Nationa...,,(3.4k Reviews),Private,"Jacksonville,Florida + 31 more",54 years old,10k-50k Employees (India),,
Apollo Hospitals,,(5.3k Reviews),Public,"San Francisco,California + 161 more",39 years old,50k-1 Lakh Employees (India),,
Hewlett-Packard ...,,(3.6k Reviews),Private,"Houston,Texas + 87 more",7 years old,10k-50k Employees (India),,
Reliance Communi...,,(4.0k Reviews),Public,"Navi Mumbai,Maharashtra + 364 more",20 years old,10k-50k Employees (India),,
Siemens,,(4.8k Reviews),Public,"Munich,Bavaria + 104 more",175 years old,10k-50k Employees (India),,
Future Group,,(10.2k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India),,
Delhivery,,(3.6k Reviews),Private,"Delhi,NCT + 455 more",11 years old,10k-50k Employees (India),,
Nokia,,(4.5k Reviews),Private,"Espoo,Southern Finland + 170 more",157 years old,10k-50k Employees (India),,
eClerx,,(3.1k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India),,
Max Life Insuran...,,(3.1k Reviews),JV,"Gurgaon/Gurugram,Haryana + 284 more",22 years old,10k-50k Employees (India),,
AU Small Finance...,,(4.1k Reviews),Private,"Jaipur,Rajasthan + 282 more",26 years old,10k-50k Employees (India),,
First Source,,(3.0k Reviews),Public,"Mumbai,Maharashtra + 44 more",21 years old,10k-50k Employees (India),,
Oracle,,(3.8k Reviews),Public,"Austin,Texas + 30 more",45 years old,50k-1 Lakh Employees (India),,
TVS Motor,,(4.4k Reviews),Public,"Chennai,Tamil Nadu + 237 more",43 years old,10k-50k Employees (India),,
Hero MotoCorp,,(3.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 261 more",38 years old,5k-10k Employees (India),,
Tata Projects,,(3.0k Reviews),Public,"Mumbai,Maharashtra + 188 more",43 years old,10k-50k Employees (India),,
Oyo Rooms,,(3.2k Reviews),Private,"Gurgaon,Haryana + 103 more",9 years old,1k-5k Employees (India),,
TATA Steel,,(4.6k Reviews),Public,"Mumbai,Maharashtra + 123 more",115 years old,10k-50k Employees (India),,
Hexaware Technol...,,(3.0k Reviews),Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India),,
Wipro BPS,,(2.9k Reviews),Bengaluru + 36 more,22 years old,1 Lakh+ Employees (India),,,
JSW Steel,,(3.2k Reviews),Public,"Mumbai,Maharashtra + 91 more",40 years old,10k-50k Employees (India),,
JLL,,(3.0k Reviews),Private,"Mumbai,Maharashtra + 57 more",25 years old,10k-50k Employees (India),,
Cyient,,(2.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 24 more",31 years old,10k-50k Employees (India),,
Hyundai Motor,,(3.9k Reviews),Private,Seoul + 221 more,55 years old,10k-50k Employees (India),,
Bosch,,(6.2k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 84 more",136 years old,10k-50k Employees (India),,
JustDial,,(2.8k Reviews),Public,"Mumbai,Maharashtra + 123 more",26 years old,10k-50k Employees (India),,
Bajaj Allianz Li...,,(2.8k Reviews),Private,Pune + 398 more,21 years old,10k-50k Employees (India),,
Quess,,(8.7k Reviews),Public,Bangalore + 324 more,15 years old,10k-50k Employees (India),,
Atos Syntel,,(4.5k Reviews),Private,"Troy,Michigan + 15 more",42 years old,10k-50k Employees (India),,
Samsung,,(7.5k Reviews),Public,Seoul + 348 more,84 years old,10k-50k Employees (India),,
Megha Engineerin...,,(2.7k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 194 more",33 years old,1k-5k Employees (India),,
Manappuram Finan...,,(3.3k Reviews),Public,"Thrissur/Trichur,Kerala + 389 more",73 years old,10k-50k Employees (India),,
L&T Construction,,(3.5k Reviews),Public,Chennai + 258 more,78 years old,10k-50k Employees (India),,
Omega Healthcare,,(2.6k Reviews),Private,Florida + 27 more,18 years old,5k-10k Employees (India),,
BNY Mellon,,(2.6k Reviews),Private,"New York City,New York + 10 more",18 years old,10k-50k Employees (India),,
Viatris,,(2.6k Reviews),"Canonsburg,Pennsylvania + 63 more",61 years old,10k-50k Employees (India),,,
SBI Cards & Paym...,,(2.5k Reviews),Government,"Gurgaon/Gurugram,Haryana + 237 more",24 years old,10k-50k Employees (India),,
D Mart,,(2.5k Reviews),Private,"Mumbai,Maharashtra + 157 more",22 years old,10k-50k Employees (India),,
Fullerton India,,(2.5k Reviews),Private,Mumbai + 393 more,15 years old,10k-50k Employees (India),,
Aditya Birla Fas...,,(3.3k Reviews),Private,Mumbai + 192 more,7 years old,10k-50k Employees (India),,
Cummins,,(3.1k Reviews),"Columbus,Indiana + 80 more",60 years old,10k-50k Employees (India),,,
Godrej & Boyce M...,,(2.8k Reviews),Private,"Mumbai,Maharashtra + 115 more",125 years old,10k-50k Employees (India),,
IQVIA,,(2.6k Reviews),Partnership,Durham + 37 more,40 years old,10k-50k Employees (India),,
UnitedHealth,,(4.5k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India),,
CBRE,,(2.4k Reviews),Private,"Los Angeles,California + 51 more",116 years old,10k-50k Employees (India),,
Equitas Small Fi...,,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 286 more",15 years old,10k-50k Employees (India),,
Dominos Pizza,,(2.4k Reviews),Public,"Ypsilanti,Michigan + 205 more",62 years old,1k-5k Employees (India),,
Royal Enfield,,(2.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 235 more",121 years old,1k-5k Employees (India),,
Bajaj Auto,,(2.4k Reviews),Public,"Pune,Maharashtra + 208 more",77 years old,5k-10k Employees (India),,
State Bank of In...,,(4.8k Reviews),"Mumbai,Maharashtra + 338 more",216 years old,1 Lakh+ Employees (India),,,
JBM Group,,(2.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 73 more",39 years old,10k-50k Employees (India),,
Nagarjuna Constr...,,(2.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 177 more",24 years old,1k-5k Employees (India),,
Nagarro,,(2.5k Reviews),Private,"Munich,Bavaria + 29 more",26 years old,10k-50k Employees (India),,
Axis Direct,,(2.4k Reviews),Private,"San Mateo,California + 263 more",11 years old,1k-5k Employees (India),,
ICICI Lombard Ge...,,(2.3k Reviews),Public,"Mumbai,Maharashtra + 195 more",21 years old,10k-50k Employees (India),,
Tata Communicati...,,(3.1k Reviews),Public,"Mumbai,Maharashtra + 88 more",36 years old,10k-50k Employees (India),,
Wipro Infotech,,(2.3k Reviews),Private,Bangalore + 114 more,77 years old,1 Lakh+ Employees (Global),,
Amdocs,,(2.3k Reviews),Private,"Chesterfield,Missouri + 11 more",40 years old,10k-50k Employees (India),,
Wipro Consumer ...,,(30.0k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 72 more",77 years old,1k-5k Employees (India),,
Schneider Electr...,,(3.9k Reviews),Private,Paris + 77 more,23 years old,10k-50k Employees (India),,
Bosch Global Sof...,,(2.3k Reviews),Private,Gerlingen + 21 more,32 years old,10k-50k Employees (India),,
UST,,(2.4k Reviews),Private,"Aliso Viejo,California + 31 more",21 years old,10k-50k Employees (India),,
Muthoot Fincorp,,(2.3k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 420 more",135 years old,10k-50k Employees (India),,
Ford Motor,,(2.7k Reviews),Public,"Dearborn,Michigan + 103 more",119 years old,10k-50k Employees (India),,
Indiamart Interm...,,(2.3k Reviews),Private,"Noida,Uttar Pradesh + 106 more",26 years old,10k-50k Employees (India),,
Dell,,(3.6k Reviews),Private,"Round Rock,Texas + 82 more",38 years old,10k-50k Employees (India),,
Ecom Express,,(2.2k Reviews),Private,"Gurgaon,Haryana + 466 more",10 years old,10k-50k Employees (India),,
Whitehat jr,,(2.2k Reviews),Private,"Mumbai,Maharashtra + 43 more",4 years old,5k-10k Employees (India),,
BigBasket,,(2.3k Reviews),Private,"Bangalore,Karnataka + 76 more",11 years old,5k-10k Employees (India),,
Flex,,(2.2k Reviews),Private,San Jose + 35 more,53 years old,10k-50k Employees (India),,
John Deere,,(2.4k Reviews),Private,"Moline,Illinois + 98 more",21 years old,5k-10k Employees (India),,
LG Electronics,,(2.3k Reviews),Public,"Seoul,Seoul + 184 more",64 years old,10k-50k Employees (India),,
Hetero Drugs,,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 33 more",29 years old,1k-5k Employees (India),,
L&T Financial Se...,,(2.2k Reviews),Public,"Mumbai,Maharashtra + 381 more",28 years old,10k-50k Employees (India),,
Motherson Sumi S...,,(3.6k Reviews),Public,"Noida,Uttar Pradesh + 60 more",36 years old,5k-10k Employees (India),,
SBI Life Insuran...,,(2.2k Reviews),Government,"Mumbai,Maharashtra + 415 more",21 years old,10k-50k Employees (India),,
Sodexo,,(2.3k Reviews),Private,Issy Les Moulineaux + 107 more,14 years old,5k-10k Employees (India),,
KEC Internationa...,,(2.2k Reviews),Public,"Mumbai,Maharashtra + 203 more",77 years old,5k-10k Employees (India),,
Cholamandalam In...,,(2.2k Reviews),Private,"Chennai,Tamil Nadu + 476 more",44 years old,5k-10k Employees (India),,
GlobalLogic,,(2.1k Reviews),Private,"San Jose,California + 24 more",22 years old,1k-5k Employees (India),,
