Name,Rating,Review,C-Type,HQ,Old,Employees,Site,Sector
Ageas Federal Li...,,(505 Reviews),Private,"Mumbai,Maharashtra + 101 more",14 years old,501-1k Employees (India),,
EPAM Systems,,(511 Reviews),"Newtown,Pennsylvania + 11 more",29 years old,5k-10k Employees (India),,,
United Breweries,,(591 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 68 more",165 years old,1k-5k Employees (India),,
ThyssenKrupp Ind...,,(503 Reviews),Private,"Pune,Maharashtra + 31 more",75 years old,1k-5k Employees (India),,
Varroc Polymers,,(503 Reviews),Private,"Aurangabad,Maharashtra + 26 more",27 years old,201-500 Employees (India),,
Troikaa Pharmace...,,(503 Reviews),Private,"Ahmedabad,Gujarat + 55 more",39 years old,1k-5k Employees (India),,
B. G. Shirke Con...,,(503 Reviews),Private,"Pune,Maharashtra + 22 more",78 years old,1k-5k Employees (India),,
TNQ Technologies,,(502 Reviews),Private,Chennai + 5 more,24 years old,1k-5k Employees (India),,
Flash Electronic...,,(501 Reviews),Private,"Pune,Maharashtra + 13 more",33 years old,1k-5k Employees (India),,
Iris Software,,(501 Reviews),Private,"Edison,New Jersey + 4 more",31 years old,1k-5k Employees (India),,
Eveready Industr...,,(500 Reviews),Public,"Kolkata,West Bengal + 51 more",88 years old,1k-5k Employees (India),,
HFCL,,(596 Reviews),Public,"Delhi/NCR,New Delhi + 76 more",35 years old,1k-5k Employees (India),,
Diageo,,(998 Reviews),Public,London + 59 more,25 years old,1k-5k Employees (India),,
Minda Corporatio...,,(621 Reviews),Public,Gurugram + 38 more,64 years old,1k-5k Employees (India),,
Nippon Paint Ind...,,(498 Reviews),Private,Osaka + 77 more,141 years old,1k-5k Employees (India),,
Ahluwalia Contra...,,(497 Reviews),Public,"Delhi/NCR,New Delhi + 32 more",57 years old,1k-5k Employees (India),,
WorleyParsons,,(497 Reviews),Private,"North Sydney,North Sydney + 28 more",51 years old,1k-5k Employees (India),,
OCS Group,,(497 Reviews),Private,"Mumbai,Maharashtra + 40 more",26 years old,10k-50k Employees (India),,
Metropolis Healt...,,(497 Reviews),Private,"Mumbai,Maharashtra + 61 more",42 years old,1k-5k Employees (India),,
ZF Steering Gear,,(497 Reviews),Public,"Pune,Maharashtra + 11 more",107 years old,501-1k Employees (India),,
Air India,,(857 Reviews),Private,"Delhi/NCR,New Delhi + 40 more",92 years old,10k-50k Employees (India),,
VMware Software,,(509 Reviews),Private,"Palo Alto,California + 9 more",24 years old,5k-10k Employees (India),,
Exela Technologi...,,(494 Reviews),Private,"Irving,Texas + 12 more",11 years old,1k-5k Employees (India),,
Vedanta Resource...,,(2.3k Reviews),Public,London + 45 more,46 years old,1k-5k Employees (India),,
Birla Corporatio...,,(832 Reviews),Public,"Kolkata,India + 85 more",103 years old,1k-5k Employees (India),,
Napino Auto & El...,,(493 Reviews),Public,"Gurgaon/Gurugram,Haryana + 4 more",25 years old,1k-5k Employees (India),,
Adani Group,,(493 Reviews),Public,Ahmedabad + 69 more,34 years old,10k-50k Employees (India),,
KIMS Hospital,,(491 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 30 more",10 years old,501-1k Employees (India),,
SFO Technologies,,(491 Reviews),Private,"Kochi/Cochin,Kerala + 12 more",32 years old,1k-5k Employees (India),,
United Spirits,,(491 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 87 more",25 years old,1k-5k Employees (India),,
Better.com,,(491 Reviews),"New York City,New York + 2 more",6 years old,201-500 Employees (India),,,
CALIBEHR,,(491 Reviews),Private,"Mumbai,Maharashtra + 77 more",43 years old,1k-5k Employees (India),,
GirnarSoft,,(1.0k Reviews),Private,"Jaipur,Rajasthan + 37 more",15 years old,1k-5k Employees (India),,
Finolex Cables,,(493 Reviews),Public,Pune + 63 more,66 years old,5k-10k Employees (India),,
Sadbhav Engineer...,,(514 Reviews),Public,"Ahmedabad,Gujarat + 61 more",34 years old,1k-5k Employees (India),,
Star Cement,,(488 Reviews),Public,"Kolkata,West Bengal + 37 more",21 years old,1k-5k Employees (India),,
Greenko Group,,(487 Reviews),Private,Hyderabad + 38 more,18 years old,1k-5k Employees (India),,
Otis Elevator,,(487 Reviews),Private,"Farmington,Connecticut + 47 more",169 years old,1k-5k Employees (India),,
Kurlon,,(486 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 77 more",60 years old,1k-5k Employees (India),,
Karur Vysya Bank,,(486 Reviews),Public,"Karur,Tamil Nadu + 88 more",106 years old,5k-10k Employees (India),,
Vakrangee,,(486 Reviews),Public,"Mumbai,Maharashtra + 76 more",32 years old,1k-5k Employees (India),,
Allianz Technolo...,,(485 Reviews),Munich + 6 more,132 years old,1k-5k Employees (India),,,
Wistron,,(485 Reviews),Taipei + 9 more,21 years old,201-500 Employees (India),,,
Steag Energy Ser...,,(485 Reviews),Private,"Essen,Essen + 28 more",22 years old,1k-5k Employees (India),,
Suzuki Motorcycl...,,(6.6k Reviews),Private,Hamamatsu + 82 more,113 years old,1k-5k Employees (India),,
Medusind Solutio...,,(484 Reviews),Private,"Mumbai,Maharashtra + 7 more",20 years old,1k-5k Employees (India),,
Jain Irrigation ...,,(484 Reviews),Public,"Jalgaon,Maharashtra + 70 more",59 years old,1k-5k Employees (India),,
Aarvi Encon,,(483 Reviews),Public,"Mumbai,Maharashtra + 62 more",35 years old,1k-5k Employees (India),,
Quest Retail,,(482 Reviews),Private,"Gurgaon/Gurugram,Haryana + 60 more",17 years old,501-1k Employees (India),,
Uber,,(553 Reviews),Public,"San Francisco,California + 38 more",13 years old,1k-5k Employees (India),,
Pernod Ricard,,(487 Reviews),Private,Paris + 81 more,47 years old,1k-5k Employees (India),,
HPCL-Mittal Ener...,,(480 Reviews),JV,"Noida,Uttar Pradesh + 15 more",15 years old,1k-5k Employees (India),,
Lumen Technologi...,,(480 Reviews),"Monroe,Louisiana + 10 more",92 years old,1k-5k Employees (India),,,
Hikal,,(479 Reviews),Private,"Mumbai,Maharashtra + 13 more",34 years old,1k-5k Employees (India),,
Anchor Electrica...,,(479 Reviews),Private,"Mumbai,Maharashtra + 68 more",59 years old,5k-10k Employees (India),,
Godrej Agrovet,,(479 Reviews),Mumbai + 78 more,1k-5k Employees (India),,,,
Educomp Solution...,,(478 Reviews),Public,"Gurgaon/Gurugram,Haryana + 109 more",28 years old,11-50 Employees (India),,
Genpact Headstro...,,(20.4k Reviews),Private,"New Delhi,New Delhi + 13 more",24 years old,1k-5k Employees (India),,
JTEKT,,(986 Reviews),Public,Osaka + 16 more,16 years old,501-1k Employees (India),,
Royal Caribbean ...,,(645 Reviews),Public,"Miami,Florida + 14 more",53 years old,501-1k Employees (India),,
Sintex Industrie...,,(477 Reviews),Public,"Kalol,Gujarat + 51 more",91 years old,5k-10k Employees (India),,
Godrej Propertie...,,(477 Reviews),Public,"Mumbai,Maharashtra + 20 more",32 years old,1k-5k Employees (India),,
Quatrro,,(477 Reviews),Private,Gurgaon + 4 more,17 years old,1k-5k Employees (India),,
Altimetrik,,(477 Reviews),Private,"Southfield,Michigan + 7 more",10 years old,1k-5k Employees (India),,
Samsung Electron...,,(476 Reviews),Noida + 77 more,1 Lakh+ Employees (Global),,,,
Bajaj Housing Fi...,,(475 Reviews),Private,"Pune,Maharashtra + 91 more",14 years old,1k-5k Employees (India),,
Country Holidays...,,(475 Reviews),Private,"Noida,Uttar Pradesh + 17 more",6 years old,501-1k Employees (India),,
TEKsystems,,(473 Reviews),Private,"Hanover,Maryland + 8 more",39 years old,1k-5k Employees (India),,
AVEVA,,(472 Reviews),Private,"Cambridge,Cambridgeshire + 8 more",55 years old,1k-5k Employees (India),,
Reliance Power,,(472 Reviews),Public,"Navi Mumbai,Maharashtra + 28 more",27 years old,1k-5k Employees (India),,
Sundaram Clayto...,,(472 Reviews),Public,"Chennai,Tamil Nadu + 17 more",60 years old,1k-5k Employees (India),,
Allscripts,,(473 Reviews),Private,"Chicago,Illinois + 4 more",40 years old,1k-5k Employees (India),,
Ingram Micro,,(518 Reviews),Private,"Irvine,California + 38 more",43 years old,1k-5k Employees (India),,
Wheels,,(470 Reviews),Public,"Chennai,Tamil Nadu + 21 more",60 years old,1k-5k Employees (India),,
Fusion Microfina...,,(470 Reviews),Private,"Delhi,NCT + 133 more",12 years old,5k-10k Employees (India),,
Knorr-Bremse,,(469 Reviews),Private,Munich + 15 more,9 years old,201-500 Employees (India),,
DLF,,(469 Reviews),Public,"Gurgaon/Gurugram,Haryana + 22 more",76 years old,1k-5k Employees (India),,
Athena BPO,,(468 Reviews),Private,"Mumbai,Maharashtra + 20 more",3 years old,201-500 Employees (India),,
Matrimony.com,,(468 Reviews),Public,"Chennai,Tamil Nadu + 31 more",25 years old,1k-5k Employees (India),,
VeeTechnologies,,(467 Reviews),Private,New York + 14 more,22 years old,1k-5k Employees (India),,
Redington,,(467 Reviews),Public,"Dubai,Dubai + 44 more",23 years old,1k-5k Employees (India),,
Willis Towers Wa...,,(657 Reviews),Private,London + 13 more,6 years old,1k-5k Employees (India),,
Schlumberger,,(570 Reviews),Private,"Houston,Texas + 30 more",96 years old,5k-10k Employees (India),,
SoftAge Informat...,,(465 Reviews),Private,"Gurgaon/Gurugram,Haryana + 129 more",28 years old,1k-5k Employees (India),,
GEP Worldwide,,(465 Reviews),Private,"Clark,New Jersey + 4 more",23 years old,1k-5k Employees (India),,
Velocis Systems,,(465 Reviews),Private,"Noida,Uttar Pradesh + 38 more",27 years old,1k-5k Employees (India),,
Defence Research...,,(524 Reviews),Private,"Delhi/NCR,New Delhi + 32 more",64 years old,10k-50k Employees (India),,
Aparna Construct...,,(464 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 22 more",26 years old,1k-5k Employees (India),,
Denave,,(464 Reviews),Private,"Noida,Uttar Pradesh + 49 more",23 years old,501-1k Employees (India),,
OMICS Internatio...,,(477 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",15 years old,51-200 Employees (India),,
Gharda Chemicals,,(463 Reviews),Private,"Mumbai,Maharashtra + 35 more",55 years old,1k-5k Employees (India),,
Airtel Payments ...,,(463 Reviews),Public,"Delhi/NCR,New Delhi + 126 more",6 years old,1k-5k Employees (India),,
Medplus(optival ...,,(463 Reviews),Private,Hyderabad + 43 more,16 years old,501-1k Employees (India),,
T.v. Sundram Iye...,,(12.7k Reviews),"Chennai,Tamil Nadu + 72 more",111 years old,1k-5k Employees (India),,,
Royal Sundaram G...,,(461 Reviews),JV,"Chennai,Tamil Nadu + 77 more",21 years old,1k-5k Employees (India),,
Tanishq,,(461 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 115 more",28 years old,1 Lakh+ Employees (India),,
Accel Frontline,,(461 Reviews),Private,"Chennai,Tamil Nadu + 59 more",31 years old,51-200 Employees (India),,
Bluestream Softw...,,(461 Reviews),Private,"New Delhi,Delhi + 7 more",1k-5k Employees (India),,,
Xebia,,(460 Reviews),Private,"Hilversum,Hilversum + 8 more",21 years old,1k-5k Employees (India),,
Aditya Birla Hea...,,(460 Reviews),Private,Mumbai + 97 more,7 years old,1k-5k Employees (India),,
Orient Craft,,(460 Reviews),Private,"Gurgaon/Gurugram,Haryana + 12 more",46 years old,10k-50k Employees (India),,
EYGBS,,(459 Reviews),"Bangalore/Bengaluru,Karnataka + 19 more",4 years old,51-200 Employees (India),,,
ICA Edu Skills,,(459 Reviews),Private,"Kolkata,West Bengal + 89 more",23 years old,1k-5k Employees (India),,
Samasta Microfin...,,(458 Reviews),Public,"Bangalore,Karnataka + 147 more",14 years old,1k-5k Employees (India),,
IMPACT Infotech,,(457 Reviews),Private,"Pune,Maharashtra + 47 more",28 years old,501-1k Employees (India),,
Michelin,,(457 Reviews),Private,Clermont-Ferrand + 35 more,13 years old,1k-5k Employees (India),,
Happiest Minds T...,,(457 Reviews),Public,"Bangalore,Karnataka + 11 more",11 years old,1k-5k Employees (India),,
Uttam Galva Stee...,,(457 Reviews),Public,"Mumbai,Maharashtra + 17 more",37 years old,1k-5k Employees (India),,
Amara Raja Group,,(1.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 60 more",37 years old,10k-50k Employees (India),,
Ugam Solution,,(456 Reviews),Private,"Mumbai,Maharashtra + 9 more",22 years old,1k-5k Employees (India),,
Rodic Consultant...,,(456 Reviews),Private,"Delhi/NCR,Delhi + 75 more",22 years old,501-1k Employees (India),,
IFFCO,,(1.5k Reviews),Private,"Delhi/NCR,Delhi + 60 more",55 years old,1k-5k Employees (India),,
General Motors,,(669 Reviews),Private,"Detroit,Michigan + 26 more",26 years old,5k-10k Employees (India),,
Quikr,,(614 Reviews),Private,"Bangalore,Karnataka + 21 more",14 years old,1k-5k Employees (India),,
Dodsal Engineeri...,,(454 Reviews),Conglomerate,"Dubai,Dubai + 29 more",39 years old,501-1k Employees (India),,
Page Industries,,(454 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 53 more",28 years old,10k-50k Employees (India),,
L&T Power,,(454 Reviews),Public,"Mumbai,Maharashtra + 72 more",16 years old,1k-5k Employees (India),,
LivSpace,,(454 Reviews),Private,"Bangalore,Karnataka + 17 more",7 years old,1k-5k Employees (India),,
General Mills,,(465 Reviews),Private,"Minneapolis,Minnesota + 33 more",26 years old,1k-5k Employees (India),,
Dassault Systeme...,,(545 Reviews),Private,"Velizy-villacoublay,Yvelines + 6 more",41 years old,1k-5k Employees (India),,
Moser Baer,,(456 Reviews),Public,"Delhi/NCR,Delhi + 14 more",39 years old,1k-5k Employees (India),,
Kutumbh Care,,(452 Reviews),Private,"Noida,Uttar Pradesh + 114 more",15 years old,5k-10k Employees (India),,
Ihg Group,,(902 Reviews),Private,"Gurgaon/Gurugram,Haryana + 32 more",19 years old,1k-5k Employees (India),,
Power Grid Corpo...,,(451 Reviews),Private,"Gurgaon/Gurugram,Haryana + 123 more",33 years old,5k-10k Employees (India),,
CSB Bank,,(451 Reviews),Private,"Thrissur/Trichur,Kerala + 95 more",102 years old,1k-5k Employees (India),,
Kalpataru Group,,(450 Reviews),Private,"Mumbai,Maharashtra + 43 more",53 years old,1k-5k Employees (India),,
Vivanta by Taj,,(450 Reviews),Private,"Gurgaon/Gurugram,Haryana + 36 more",12 years old,1k-5k Employees (India),,
Future Lifestyle...,,(450 Reviews),Public,"Mumbai,Maharashtra + 52 more",10 years old,5k-10k Employees (India),,
Asirvad Microfin...,,(449 Reviews),Private,"Chennai,Tamil Nadu + 129 more",15 years old,5k-10k Employees (India),,
Chennai Radha En...,,(449 Reviews),Private,"Chennai,Tamil Nadu + 33 more",17 years old,5k-10k Employees (India),,
National Health ...,,(449 Reviews),Private,"Guwahati,Assam + 150 more",17 years old,1 Lakh+ Employees (India),,
Goldman Sachs,,(512 Reviews),Private,"New York,New York + 10 more",19 years old,10k-50k Employees (India),,
Sl Lumax,,(448 Reviews),Public,"Sriperumbudur,Tamil Nadu + 11 more",25 years old,1k-5k Employees (India),,
Jaya Hind Indust...,,(512 Reviews),Public,"Pune,Maharashtra + 14 more",75 years old,1k-5k Employees (India),,
Caparo Engineeri...,,(447 Reviews),"Gurgaon/Gurugram,Haryana + 32 more",54 years old,51-200 Employees (India),,,
Timken,,(446 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 27 more",24 years old,1k-5k Employees (India),,
Ebix Software In...,,(446 Reviews),Public,"Atlanta,Georgia + 27 more",46 years old,1k-5k Employees (India),,
J B Chemicals An...,,(446 Reviews),Public,"Mumbai,Maharashtra + 41 more",46 years old,1k-5k Employees (India),,
Leadec,,(446 Reviews),Private,Stuttgart + 37 more,60 years old,501-1k Employees (India),,
CarDekho,,(446 Reviews),Private,"Jaipur,Rajasthan + 46 more",14 years old,1k-5k Employees (India),,
Volvo,,(3.5k Reviews),Private,"Gothenburg,Gothenburg + 31 more",24 years old,1k-5k Employees (India),,
Omaxe,,(445 Reviews),Public,"Delhi/NCR,New Delhi + 19 more",33 years old,1k-5k Employees (India),,
Rallis India,,(445 Reviews),Public,"Mumbai,Maharashtra + 64 more",74 years old,1k-5k Employees (India),,
Biba Apparels,,(445 Reviews),Private,Gurgaon + 68 more,36 years old,1k-5k Employees (India),,
VA Tech Wabag,,(444 Reviews),Public,"Chennai,Tamil Nadu + 35 more",98 years old,1k-5k Employees (India),,
Adani Solar,,(444 Reviews),Public,Ahmedabad + 25 more,7 years old,1k-5k Employees (India),,
Bses Rajdhani Po...,,(643 Reviews),Private,"Delhi/NCR,New Delhi + 5 more",21 years old,5k-10k Employees (Global),,
AIIMS,,(443 Reviews),"Delhi/NCR,New Delhi + 31 more",66 years old,5k-10k Employees (India),,,
Gayatri Projects,,(443 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 65 more",59 years old,1k-5k Employees (India),,
Kohler,,(479 Reviews),Private,"Kohler,Wisconsin + 25 more",149 years old,1k-5k Employees (India),,
Transsion,,(442 Reviews),Public,Shenzhen + 50 more,16 years old,501-1k Employees (India),,
United Alliance ...,,(442 Reviews),Pune + 7 more,11-50 Employees (India),,,,
Urban Company,,(442 Reviews),Private,"Gurgaon,Haryana + 33 more",7 years old,1k-5k Employees (India),,
ICICI Prudential...,,(441 Reviews),JV,New Delhi + 106 more,29 years old,1k-5k Employees (India),,
Saud Bahwan Grou...,,(441 Reviews),Private,Muscat + 16 more,47 years old,201-500 Employees (India),,
Indira IVF Hospi...,,(441 Reviews),Private,"Udaipur,Rajasthan + 64 more",7 years old,1k-5k Employees (India),,
Artech Infosyste...,,(440 Reviews),Private,"Morristown,New Jersey + 15 more",30 years old,201-500 Employees (India),,
Sri Chaitanya Sc...,,(440 Reviews),Public,Hyderabad + 59 more,36 years old,11-50 Employees (India),,
Federal Bank,,(739 Reviews),Public,"Aluva,Kerala + 86 more",91 years old,10k-50k Employees (India),,
Amway India Ente...,,(439 Reviews),Private,"Ada Township,Michigan + 72 more",27 years old,1k-5k Employees (India),,
Investors Clinic,,(439 Reviews),"Noida,Uttar Pradesh + 20 more",13 years old,1k-5k Employees (India),,,
GKN,,(533 Reviews),Private,"Redditch,Worcestershire + 19 more",37 years old,1k-5k Employees (India),,
Advik Hi Tech,,(438 Reviews),Private,"Pune,Maharashtra + 16 more",22 years old,501-1k Employees (India),,
Qualcomm,,(440 Reviews),Private,"San Diego,California + 12 more",26 years old,10k-50k Employees (India),,
Wipro Infrastruc...,,(437 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 26 more",46 years old,1k-5k Employees (India),,
uFaber,,(437 Reviews),Private,"Mumbai,Maharashtra + 13 more",9 years old,501-1k Employees (India),,
Eli Research,,(436 Reviews),Private,Faridabad + 7 more,31 years old,501-1k Employees (India),,
McNally Bharat E...,,(498 Reviews),Public,"Kolkata,West Bengal + 43 more",61 years old,1k-5k Employees (India),,
Rashmi Metaliks,,(435 Reviews),Private,"Kolkata,West Bengal + 17 more",18 years old,10k-50k Employees (India),,
V5 Global Servic...,,(435 Reviews),Private,"Delhi/NCR,Delhi + 85 more",17 years old,10k-50k Employees (India),,
Sandhar Technolo...,,(435 Reviews),Public,"Gurgaon/Gurugram,Haryana + 22 more",35 years old,1k-5k Employees (India),,
Eris Lifescience...,,(435 Reviews),Public,"Ahmedabad,Gujarat + 61 more",15 years old,1k-5k Employees (India),,
Tata Starbucks,,(434 Reviews),JV,Seattle + 25 more,51 years old,1k-5k Employees (India),,
Central Industri...,,(434 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 55 more",53 years old,1 Lakh+ Employees (India),,
Dimension Data,,(434 Reviews),Private,"Bryanston,Johannesburg + 48 more",39 years old,1k-5k Employees (India),,
Grant Thornton,,(434 Reviews),Private,"Chicago,Illinois + 31 more",98 years old,5k-10k Employees (India),,
Signify,,(434 Reviews),Amsterdam + 53 more,92 years old,1k-5k Employees (India),,,
Echobooom Manage...,,(438 Reviews),Private,"Mumbai,Maharashtra + 15 more",2 years old,201-500 Employees (India),,
Arohan Financial...,,(432 Reviews),Private,"Kolkata,West Bengal + 98 more",16 years old,1k-5k Employees (India),,
Morningstar,,(432 Reviews),Private,"Chicago,Illinois + 8 more",38 years old,1k-5k Employees (India),,
GSK Pharmaceutic...,,(432 Reviews),Middlesex + 71 more,192 years old,1k-5k Employees (India),,,
Lakshmi Machine ...,,(431 Reviews),Public,"Coimbatore,Tamil Nadu + 15 more",60 years old,1k-5k Employees (India),,
RAMTeCH Software...,,(430 Reviews),Private,"Noida,Uttar Pradesh + 24 more",30 years old,1k-5k Employees (India),,
ZTE Corporation,,(429 Reviews),Private,"Shenzhen,Guangdong + 44 more",19 years old,1k-5k Employees (India),,
Engineers India,,(429 Reviews),Public,"Delhi/NCR,New Delhi + 44 more",57 years old,1k-5k Employees (India),,
NeoSOFT,,(429 Reviews),Private,"Mumbai,Maharashtra + 11 more",26 years old,1k-5k Employees (India),,
Scope Internatio...,,(429 Reviews),Private,Mannheim + 4 more,21 years old,201-500 Employees (Global),,
Knight Frank,,(429 Reviews),Private,London + 32 more,126 years old,501-1k Employees (India),,
Electrotherm,,(428 Reviews),Public,"Ahmedabad,Gujarat + 19 more",39 years old,1k-5k Employees (India),,
Westside,,(428 Reviews),Private,Mumbai + 71 more,24 years old,5k-10k Employees (India),,
Holiday Inn,,(428 Reviews),Private,"Memphis,Buckinghamshire + 42 more",70 years old,1k-5k Employees (India),,
EMERSON PROCESS ...,,(700 Reviews),Public,"St. Louis,Missouri + 24 more",132 years old,1k-5k Employees (India),,
Progressive Info...,,(427 Reviews),Private,"Noida,Uttar Pradesh + 39 more",24 years old,1k-5k Employees (India),,
bnp paribas indi...,,(427 Reviews),Paris + 7 more,174 years old,10k-50k Employees (India),,,
BASF,,(555 Reviews),Private,Ludwigshafen + 56 more,79 years old,10k-50k Employees (India),,
Pratap Technocra...,,(426 Reviews),Private,"Jaipur,Rajasthan + 76 more",24 years old,501-1k Employees (India),,
Skipper,,(426 Reviews),Public,"Kolkata,West Bengal + 38 more",41 years old,1k-5k Employees (India),,
Alshaya Group,,(426 Reviews),Private,"Kuwait City,Kuwait + 20 more",132 years old,501-1k Employees (India),,
Cult.fit,,(425 Reviews),Private,"Bangalore,Karnataka + 24 more",6 years old,1k-5k Employees (India),,
HBL Power System...,,(424 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 35 more",45 years old,1k-5k Employees (India),,
Vijaya Diagnosti...,,(424 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 25 more",41 years old,501-1k Employees (India),,
TaskUs,,(424 Reviews),Private,"New Braunfels,Texas + 3 more",14 years old,1k-5k Employees (India),,
Encore Capital G...,,(423 Reviews),Private,"San Diego,California + 1 more",69 years old,1k-5k Employees (India),,
Mu Sigma,,(423 Reviews),Private,"Northbrook,Illinois + 3 more",18 years old,1k-5k Employees (India),,
Sharda Motor Ind...,,(423 Reviews),Public,"Delhi/NCR,Delhi + 23 more",36 years old,1k-5k Employees (India),,
FIITJEE,,(423 Reviews),Private,"Delhi,NCT + 42 more",30 years old,1k-5k Employees (India),,
First Advantage,,(423 Reviews),Private,"Atlanta,Georgia + 12 more",19 years old,1k-5k Employees (India),,
Xerox Technology...,,(574 Reviews),Private,"Norwalk,Connecticut + 28 more",116 years old,1k-5k Employees (India),,
Edubridge Learni...,,(422 Reviews),Private,"Mumbai,Maharashtra + 58 more",13 years old,501-1k Employees (India),,
IL&FS Engineerin...,,(422 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 43 more",34 years old,1k-5k Employees (India),,
Integreon,,(422 Reviews),Private,"Fargo,North Dakota + 6 more",22 years old,1k-5k Employees (India),,
ArcelorMittal Ni...,,(422 Reviews),"Surat,Gujarat + 24 more",5k-10k Employees (India),,,,
Micro Turners,,(421 Reviews),Private,"Panchkula,Haryana + 31 more",53 years old,51-200 Employees (India),,
Government of In...,,(3.0k Reviews),Govt Organisation,New Delhi + 103 more,72 years old,1 Lakh+ Employees (India),,
ICCS,,(420 Reviews),Private,"Delhi/NCR,Delhi + 16 more",17 years old,501-1k Employees (India),,
Raychem RPG,,(420 Reviews),Private,"Mumbai,Maharashtra + 21 more",33 years old,1k-5k Employees (India),,
nThrive Global S...,,(420 Reviews),Private,Alpharetta + 6 more,19 years old,501-1k Employees (India),,
Recpdcl.ltd,,(420 Reviews),Private,"Noida,Uttar Pradesh + 55 more",15 years old,1k-5k Employees (India),,
Lea Associates S...,,(420 Reviews),Private,"Delhi/NCR,Delhi + 83 more",29 years old,201-500 Employees (India),,
ZUVENTUS HEALTHC...,,(418 Reviews),Private,"Mumbai,Maharashtra + 52 more",20 years old,1k-5k Employees (India),,
Hitachi Payment ...,,(418 Reviews),Private,"Mumbai,Maharashtra + 25 more",14 years old,1k-5k Employees (India),,
Inox Wind,,(418 Reviews),Public,"Noida,Uttar Pradesh + 30 more",13 years old,501-1k Employees (India),,
Indo Autotech,,(418 Reviews),Private,"Faridabad,Haryana + 19 more",48 years old,1k-5k Employees (India),,
Magus Customer D...,,(417 Reviews),Private,"Pune,Maharashtra + 15 more",33 years old,51-200 Employees (India),,
Union Bank of In...,,(417 Reviews),Public,"Mumbai,Maharashtra + 80 more",103 years old,50k-1 Lakh Employees (India),,
AuthBridge Resea...,,(417 Reviews),Private,"Gurgaon,Haryana + 11 more",17 years old,501-1k Employees (India),,
Border Security ...,,(417 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 58 more",57 years old,1 Lakh+ Employees (India),,
Samsung Research,,(417 Reviews),Private,Seocho-gu + 8 more,53 years old,1k-5k Employees (India),,
Bioclinica,,(417 Reviews),Private,"Princeton,New Jersey + 5 more",14 years old,1k-5k Employees (India),,
Aspire Systems,,(417 Reviews),Private,Oak Brook + 8 more,26 years old,1k-5k Employees (India),,
ANZ Banking Grou...,,(684 Reviews),"Melbourne,Victoria + 12 more",15 years old,1k-5k Employees (India),,,
India Japan Ligh...,,(416 Reviews),Private,"Chennai,Tamil Nadu + 17 more",26 years old,501-1k Employees (India),,
Isuzu Motors,,(415 Reviews),Private,Tokyo + 19 more,10 years old,501-1k Employees (India),,
LifeCell Interna...,,(415 Reviews),Private,"Chennai,Tamil Nadu + 59 more",18 years old,1k-5k Employees (India),,
Tata 1mg,,(415 Reviews),Private,"Gurgaon,Haryana + 34 more",7 years old,1k-5k Employees (India),,
Bikanervala,,(414 Reviews),Private,"Delhi/NCR,New Delhi + 38 more",72 years old,1k-5k Employees (India),,
Lumina Datamatic...,,(414 Reviews),Private,"Mumbai,Maharashtra + 8 more",47 years old,1k-5k Employees (India),,
Zydus Wellness,,(414 Reviews),Public,Ahmedabad + 56 more,28 years old,501-1k Employees (India),,
CMS Computers Li...,,(413 Reviews),Private,Mumbai + 47 more,46 years old,1k-5k Employees (India),,
Adarsh Credit Co...,,(413 Reviews),Private,"Ahmedabad,Gujrat + 133 more",23 years old,1k-5k Employees (India),,
Innodata Isogen,,(413 Reviews),Private,"New Jersey,New Jersey + 6 more",25 years old,1k-5k Employees (India),,
CMS Computers Li...,,(413 Reviews),Private,Mumbai + 47 more,46 years old,1k-5k Employees (India),,
Glorious Insight,,(413 Reviews),Noida,11-50 Employees (India),,,,
Baxter Internati...,,(597 Reviews),Private,"Deerfield,Illinois + 26 more",26 years old,1k-5k Employees (India),,
Mount Litera Zee...,,(412 Reviews),Private,Mumbai + 94 more,28 years old,1k-5k Employees (India),,
Renew Solar Powe...,,(412 Reviews),Private,Gurgaon + 41 more,11 years old,1k-5k Employees (India),,
NSB Bpo Solution...,,(411 Reviews),Private,"Bhopal,Madhya Pradesh + 73 more",29 years old,1k-5k Employees (India),,
Dhanuka Agritech,,(462 Reviews),Public,"Gurgaon/Gurugram,Haryana + 62 more",40 years old,1k-5k Employees (India),,
Aparajitha Corpo...,,(409 Reviews),Private,"Madurai,Tamil Nadu + 49 more",22 years old,1k-5k Employees (India),,
